,Date,DIS,BKNG,STZ,COP,SPGI,JNJ,IEX,FMC,XEL,^GSPC
0,2000-02-25,23.98569869995117,341.25,5.4885334968566895,6.818962574005127,15.235835075378418,19.954931259155277,7.252948760986328,4.340191841125488,6.742469787597656,1333.3599853515625
1,2000-02-28,25.339733123779297,323.25,5.537851333618164,6.865192413330078,15.25633430480957,20.16279411315918,7.469162464141846,4.36924409866333,6.910436153411865,1348.050048828125
2,2000-02-29,26.30690193176269,335.625,5.523760795593262,7.050111293792725,16.69174575805664,19.954931259155277,7.783651828765869,4.491256237030029,6.742469787597656,1366.4200439453125
3,2000-03-01,26.838844299316406,386.25,5.60126256942749,7.15413236618042,16.4456729888916,20.336015701293945,8.098138809204102,4.520308971405029,6.598505020141602,1379.18994140625
4,2000-03-02,26.69376373291016,429.0,5.439212799072266,7.038556098937988,16.50719451904297,20.42262840270996,7.901584625244141,4.479635238647461,6.550516605377197,1381.760009765625
5,2000-03-03,28.24122810363769,450.0,5.615355014801025,7.050111293792725,16.4456729888916,20.37065696716309,7.9802045822143555,4.578408241271973,6.718480110168457,1409.1700439453125
6,2000-03-06,27.85435676574707,541.125,5.615355014801025,7.11945915222168,16.179101943969727,19.53919982910156,8.019516944885254,4.462206840515137,6.310569763183594,1391.280029296875
7,2000-03-07,27.85435676574707,471.75,5.270118236541748,7.489298820495605,16.07657814025879,18.984899520874023,8.1177978515625,4.363431930541992,6.310569763183594,1355.6199951171875
8,2000-03-08,27.03227424621582,525.375,5.044659614562988,7.477739334106445,15.707468032836914,19.677783966064453,8.157111167907715,4.485445499420166,6.286575794219971,1366.699951171875
9,2000-03-09,28.04779815673828,562.125,5.023521900177002,7.443070411682129,16.343149185180664,20.14546585083008,8.157111167907715,4.549357891082764,6.238585948944092,1401.68994140625
10,2000-03-10,27.177350997924805,567.0,4.840337753295898,7.350608825683594,16.07657814025879,19.64312744140625,8.03917407989502,4.473827838897705,6.38255500793457,1395.0699462890625
11,2000-03-13,27.03227424621582,575.625,4.9812493324279785,7.292820930480957,15.010268211364746,19.400632858276367,8.019516944885254,4.485445499420166,6.502527236938477,1383.6199951171875
12,2000-03-14,26.40361785888672,569.625,4.7980637550354,7.292820930480957,15.25633430480957,20.16279411315918,7.901584625244141,4.572598457336426,6.718480110168457,1359.1500244140625
13,2000-03-15,26.9355525970459,534.0,5.1362504959106445,7.396840572357178,15.215324401855469,21.32337951660156,7.999864101409912,4.886348247528076,7.15038537979126,1392.1400146484375
14,2000-03-16,27.32242774963379,527.625,5.60126256942749,7.974715232849121,16.650732040405273,22.120180130004883,8.60919189453125,5.217527866363525,7.654266357421875,1458.469970703125
15,2000-03-17,28.48301887512207,540.0,5.263073444366455,7.66266393661499,16.179101943969727,22.05088996887207,8.766435623168945,4.90377950668335,7.630273342132568,1464.469970703125
16,2000-03-20,30.51406478881836,466.125,5.15034294128418,7.685779094696045,15.584429740905762,21.98161506652832,8.727127075195312,4.95026159286499,7.486304759979248,1456.6300048828125
17,2000-03-21,30.32063865661621,487.5,5.312392234802246,8.044062614440918,15.030769348144531,22.241439819335938,8.6485013961792,5.037411689758301,7.294349193572998,1493.8699951171875
18,2000-03-22,31.336153030395508,522.0,5.382848739624023,7.870696067810059,15.563928604125977,22.79574012756348,8.78609561920166,4.927019119262695,7.126389026641846,1500.6400146484375
19,2000-03-23,32.15825653076172,528.0,5.55898904800415,7.882257461547852,16.179101943969727,22.172149658203125,8.687812805175781,4.973499774932861,7.222364902496338,1527.3499755859375
20,2000-03-24,32.061527252197266,543.0,5.453303337097168,7.940049171447754,15.7689847946167,20.02421760559082,8.884374618530273,4.973499774932861,7.246362209320068,1527.4599609375
21,2000-03-27,32.30332946777344,552.0,5.439212799072266,7.951601982116699,15.133299827575684,19.331336975097656,8.845059394836426,4.892157077789307,7.246362209320068,1523.8599853515625
22,2000-03-28,31.67466354370117,521.625,5.495576858520508,7.974715232849121,14.764199256896973,19.954931259155277,8.628841400146484,5.112941265106201,7.246362209320068,1507.72998046875
23,2000-03-29,31.57794761657715,490.875,5.403984069824219,8.217424392700195,15.092288970947266,19.69510269165039,8.707470893859863,5.153614044189453,7.342339038848877,1508.52001953125
24,2000-03-30,31.142732620239254,486.75,5.495576858520508,8.437016487121582,15.297344207763672,19.608495712280277,8.491255760192871,5.26400899887085,7.630273342132568,1487.9200439453125
25,2000-03-31,31.91645812988281,480.0,5.749218940734863,8.552595138549805,14.92824363708496,19.469919204711918,8.569876670837402,5.252388954162598,7.630273342132568,1498.5799560546875
26,2000-04-03,32.3516960144043,392.25,5.805585861206055,8.59882640838623,14.764199256896973,20.02421760559082,8.491255760192871,5.351160526275635,7.582283973693848,1505.969970703125
27,2000-04-04,31.81974601745605,451.5,5.728084087371826,8.529478073120117,15.092288970947266,21.271408081054688,8.45194149017334,5.356969833374023,7.798235893249512,1494.72998046875
28,2000-04-05,30.94928932189941,431.625,5.861950397491455,8.437016487121582,15.37937355041504,21.479267120361328,8.53056812286377,5.304680824279785,7.894208431243896,1487.3699951171875
29,2000-04-06,31.28780174255371,462.75,5.805585861206055,8.610381126403809,15.645949363708496,20.751739501953125,8.60919189453125,5.4325032234191895,7.774238586425781,1501.3399658203125
30,2000-04-07,31.723020553588867,468.375,5.868995666503906,8.517921447753906,15.37937355041504,20.52655601501465,8.569876670837402,5.368592739105225,7.702253818511963,1516.3499755859375
31,2000-04-10,31.964815139770508,437.25,5.650581359863281,8.448577880859375,14.887229919433594,21.063539505004883,8.491255760192871,5.258198261260986,7.990189075469971,1504.4599609375
